locality,historical_county,current_planning_region,platform_or_shape,live_results,archive,precinct_or_district_level,vote_mode_detail,turnout_fields,download_formats,portability_class,notes
Stratford,Fairfield,Greater Bridgeport,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Suffield,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Thomaston,Litchfield,Northwest Hills,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Thompson,Windham,Northeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Trumbull,Fairfield,Greater Bridgeport,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Vernon,Tolland,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Voluntown,New London,Southeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Warren,Litchfield,Northwest Hills,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Washington,Litchfield,Northwest Hills,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Waterford,New London,Southeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Watertown,Litchfield,Naugatuck Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
West Haven,New Haven,South Central Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Westbrook,Middlesex,Lower Connecticut River Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Weston,Fairfield,Western Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Westport,Fairfield,Western Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Wethersfield,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Willington,Tolland,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Wilton,Fairfield,Western Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Winchester,Litchfield,Northwest Hills,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Windsor,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Windsor Locks,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Wolcott,New Haven,Naugatuck Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Woodbridge,New Haven,South Central Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Woodbury,Litchfield,Naugatuck Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Woodstock,Windham,Northeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
