state,county,municipality,election_date,source_scope,source_url,election_night_available,election_night_unit_type,election_night_unit_id_available,reporting_progress_semantics,unit_completion_observable,vote_mode_at_unit_level,updates_are_cumulative,source_timestamp_available,certified_unit_type,night_to_certified_crosswalk,status,notes
MI,Washtenaw,,2026-08-04,county,https://www.washtenaw.org/election-results,true,precinct,true,unknown,unknown,unknown,true,unknown,precinct,exact,verified,"County is the live-results publication destination for Ann Arbor and maintains downloadable precinct-level official archive."
MI,Barry,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Bay,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Berrien,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Calhoun,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Clinton,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Eaton,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Grand Traverse,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Livingston,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Monroe,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Muskegon,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Saginaw,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,St. Clair,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Lapeer,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Shiawassee,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Midland,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Isabella,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Gratiot,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Ionia,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Montcalm,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Newaygo,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Mecosta,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Oceana,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Mason,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Manistee,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Wexford,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Osceola,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Clare,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Gladwin,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Arenac,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Alcona,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Alger,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Alpena,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Antrim,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Baraga,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Benzie,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Branch,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Cass,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Charlevoix,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Cheboygan,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Chippewa,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Crawford,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Delta,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Dickinson,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Emmet,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Gogebic,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Hillsdale,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Houghton,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Huron,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Iosco,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Iron,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Kalkaska,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Keweenaw,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Lake,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Leelanau,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Lenawee,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Luce,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Mackinac,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Marquette,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Menominee,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Missaukee,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Montmorency,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Ogemaw,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Ontonagon,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Oscoda,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Otsego,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Presque Isle,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Roscommon,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Sanilac,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Schoolcraft,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,St. Joseph,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Tuscola,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Van Buren,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
