county,platform_or_shape,live_results,archive,precinct_level,vote_mode_detail,turnout_fields,underovervotes,download_formats,reporting_topology_detail,audit_artifacts,notes
Saginaw,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority registered; detailed result-shape classification still pending."
St. Clair,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority registered; detailed result-shape classification still pending."
Lapeer,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority registered; detailed result-shape classification still pending."
Shiawassee,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority registered; detailed result-shape classification still pending."
Midland,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority registered; detailed result-shape classification still pending."
Isabella,Enhanced Voting,true,true,true,unknown,unknown,unknown,"web app",unknown,unknown,"County election page links directly to app.enhancedvoting.com public results; reusable Enhanced Voting adapter target."
Gratiot,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority registered; detailed result-shape classification still pending."
Ionia,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority registered; detailed result-shape classification still pending."
Montcalm,precinct + summary report center,true,true,true,"AV separate only for selected townships; otherwise absentee folded into ED",unknown,unknown,"precinct report;summary report;canvass;precincts-reported XLS",true,unknown,"Election-night page explains reporting topology explicitly. Precincts Reported spreadsheet includes arrival/reporting times; some elections use consolidated precincts."
Newaygo,linked current result system,true,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"County election page exposes a current Election Result link plus archive; endpoint family needs fingerprinting."
Mecosta,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority registered; detailed result-shape classification still pending."
Oceana,statement of votes cast archive,false,true,true,unknown,unknown,unknown,"SOV/PDF",unknown,unknown,"Current election-results page publishes official Statement of Votes Cast and maintains an archive; presently looks certification/report oriented rather than live-web oriented."
Mason,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority registered; detailed result-shape classification still pending."
Manistee,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority registered; detailed result-shape classification still pending."
Wexford,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority registered; detailed result-shape classification still pending."
Osceola,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority registered; detailed result-shape classification still pending."
Clare,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority registered; detailed result-shape classification still pending."
Gladwin,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority registered; detailed result-shape classification still pending."
Arenac,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority registered; detailed result-shape classification still pending."
Alcona,PDF/SOV archive,false,true,true,unknown,unknown,unknown,"PDF;SOV",unknown,unknown,"Official election-results page publishes PDFs including Statement of Votes Cast and historical election results."
Alger,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Alpena,PDF-first official reports,false,true,true,unknown,unknown,unknown,PDF,unknown,unknown,"Election-results archive includes summary and precinct-by-precinct PDFs across multiple cycles."
Antrim,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Baraga,summary + SOV reports,false,true,true,unknown,unknown,unknown,"summary;SOV",unknown,unknown,"Official elections page publishes Election Summary Reports and Statements of Votes Cast for current and historical elections."
Benzie,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Branch,Enhanced Voting + archive,true,true,true,unknown,unknown,unknown,"web app;archive",unknown,unknown,"2026 results page explicitly links Enhanced Results; strong candidate for shared Enhanced Voting adapter."
Cass,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Charlevoix,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Cheboygan,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Chippewa,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Crawford,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Delta,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Dickinson,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Emmet,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Gogebic,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Hillsdale,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Houghton,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Huron,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Iosco,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Iron,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Kalkaska,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Keweenaw,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Lake,Enhanced Voting,true,true,true,unknown,unknown,unknown,"web app",unknown,unknown,"Michigan SOS county-results directory links Lake County directly to app.enhancedvoting.com; shared adapter target with Isabella and Branch."
Leelanau,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Lenawee,dedicated election results site,true,true,true,unknown,unknown,unknown,"web",unknown,unknown,"Dedicated electionlenawee.com results site; likely reusable live-app family after fingerprinting."
Luce,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Mackinac,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"State SOS provides official county result link; endpoint shape pending census runner."
Marquette,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority identified; endpoint shape pending census runner."
Menominee,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority identified; endpoint shape pending census runner."
Missaukee,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority identified; endpoint shape pending census runner."
Montmorency,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority identified; endpoint shape pending census runner."
Ogemaw,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority identified; endpoint shape pending census runner."
Ontonagon,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority identified; endpoint shape pending census runner."
Oscoda,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority identified; endpoint shape pending census runner."
Otsego,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority identified; endpoint shape pending census runner."
Presque Isle,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority identified; endpoint shape pending census runner."
Roscommon,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority identified; endpoint shape pending census runner."
Sanilac,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority identified; endpoint shape pending census runner."
Schoolcraft,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority identified; endpoint shape pending census runner."
St. Joseph,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority identified; endpoint shape pending census runner."
Tuscola,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority identified; endpoint shape pending census runner."
Van Buren,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority identified; endpoint shape pending census runner."
