jurisdiction_id,state,jurisdiction_level,canonical_name,external_id_namespace,external_id,id_status,authority_id,coverage_status,final_capable,election_night_capable,final_evidence_url,election_night_evidence_url,final_source_id,election_night_source_id,assessment_method,assessment_status,first_verified_at,last_verified_at,notes
us:mi:county:bay,MI,county,Bay,,,provisional_name,us:authority:mi:county-clerk:bay-county-clerk,both,true,true,https://www.baycountymi.gov/Clerk/Elections/,https://www.baycountymi.gov/Clerk/Elections/,,,existing_state_capability_registry,verified,,,2026 index publishes separate Summary and Precinct results for multiple elections.
us:mi:county:berrien,MI,county,Berrien,,,provisional_name,us:authority:mi:county-clerk:berrien-county-clerk,both,true,true,https://www.berriencounty.org/169/Elections,https://www.berriencounty.org/169/Elections,,,existing_state_capability_registry,verified,,,Recent elections link to a dedicated results system; archive also contains PDF-era results.
us:mi:county:calhoun,MI,county,Calhoun,,,provisional_name,us:authority:mi:county-clerk:calhoun-county-clerk,both,true,true,https://www.calhouncountymi.gov/departments/clerk_and_register_of_deeds/elections.php,https://www.calhouncountymi.gov/departments/clerk_and_register_of_deeds/elections.php,,,existing_state_capability_registry,verified,,,Current app exposes contest results and full/partial/not-reported status by precinct; separate ArcGIS ElectionResults service exposes precinct-boundary and contest layers.
us:mi:county:clinton,MI,county,Clinton,,,provisional_name,us:authority:mi:county-clerk:clinton-county-clerk,final_only,true,false,https://www.clinton-county.org/228/Elections,,,,existing_state_capability_registry,verified,,,Official authority known; endpoint family pending automated fingerprint.
us:mi:county:eaton,MI,county,Eaton,,,provisional_name,us:authority:mi:county-clerk:eaton-county-clerk,final_only,true,false,https://www.eatoncounty.org/241/Elections,,,,existing_state_capability_registry,verified,,,Official authority known; endpoint family pending automated fingerprint.
us:mi:county:grand-traverse,MI,county,Grand Traverse,,,provisional_name,us:authority:mi:county-clerk:grand-traverse-county-clerk,both,true,true,https://www.gtcountymi.gov/2219/Elections,https://www.gtcountymi.gov/2219/Elections,,,existing_state_capability_registry,verified,,,2026 page links official results and Election Day turnout; reporting center covers results beginning in 2021.
us:mi:county:livingston,MI,county,Livingston,,,provisional_name,us:authority:mi:county-clerk:livingston-county-clerk,both,true,true,https://milivcounty.gov/clerk/elections/,https://milivcounty.gov/clerk/elections/,,,existing_state_capability_registry,verified,,,"2026 page publishes Statement of Votes Cast, Precinct Status, candidate/proposal reports, and Early Voting Totals; notes which townships lack AVCB precincts."
us:mi:county:monroe,MI,county,Monroe,,,provisional_name,us:authority:mi:county-clerk:monroe-county-clerk,final_only,true,false,https://www.co.monroe.mi.us/officials_and_departments/officials/county_clerk/elections.php,,,,existing_state_capability_registry,verified,,,Official authority known; endpoint family pending automated fingerprint.
us:mi:county:muskegon,MI,county,Muskegon,,,provisional_name,us:authority:mi:county-clerk:muskegon-county-clerk,both,true,true,https://co.muskegon.mi.us/419/Elections,https://co.muskegon.mi.us/419/Elections,,,existing_state_capability_registry,verified,,,Archive exposes separate cumulative and precinct results plus result mapping across recent elections.
us:mi:county:saginaw,MI,county,Saginaw,,,provisional_name,us:authority:mi:county-clerk:saginaw-county-clerk,final_only,true,false,https://www.saginawcounty.com/departments/county-clerk/elections/,,,,existing_state_capability_registry,verified,,,Official authority registered; detailed result-shape classification still pending.
us:mi:county:st-clair,MI,county,St. Clair,,,provisional_name,us:authority:mi:county-clerk:st-clair-county-clerk,final_only,true,false,https://www.stclaircounty.org/offices/109,,,,existing_state_capability_registry,verified,,,Official authority registered; detailed result-shape classification still pending.
us:mi:county:lapeer,MI,county,Lapeer,,,provisional_name,us:authority:mi:county-clerk:lapeer-county-clerk,final_only,true,false,https://www.lapeercountymi.gov/departments/county_clerk/elections.php,,,,existing_state_capability_registry,verified,,,Official authority registered; detailed result-shape classification still pending.
us:mi:county:shiawassee,MI,county,Shiawassee,,,provisional_name,us:authority:mi:county-clerk:shiawassee-county-clerk,final_only,true,false,https://www.shiawassee.net/County-Clerk/Elections/,,,,existing_state_capability_registry,verified,,,Official authority registered; detailed result-shape classification still pending.
us:mi:county:midland,MI,county,Midland,,,provisional_name,us:authority:mi:county-clerk:midland-county-clerk,final_only,true,false,https://www.co.midland.mi.us/CountyClerk/Elections.aspx,,,,existing_state_capability_registry,verified,,,Official authority registered; detailed result-shape classification still pending.
us:mi:county:isabella,MI,county,Isabella,,,provisional_name,us:authority:mi:county-clerk:isabella-county-clerk,both,true,true,https://www.isabellacounty.org/departments/county-clerk/elections/,https://www.isabellacounty.org/departments/county-clerk/elections/,,,existing_state_capability_registry,verified,,,County election page links directly to app.enhancedvoting.com public results; reusable Enhanced Voting adapter target.
us:mi:county:gratiot,MI,county,Gratiot,,,provisional_name,us:authority:mi:county-clerk:gratiot-county-clerk,final_only,true,false,https://www.gratiotmi.com/239/Elections,,,,existing_state_capability_registry,verified,,,Official authority registered; detailed result-shape classification still pending.
us:mi:county:ionia,MI,county,Ionia,,,provisional_name,us:authority:mi:county-clerk:ionia-county-clerk,final_only,true,false,https://ioniacounty.org/departments-officials/county-clerk/elections/,,,,existing_state_capability_registry,verified,,,Official authority registered; detailed result-shape classification still pending.
us:mi:county:montcalm,MI,county,Montcalm,,,provisional_name,us:authority:mi:county-clerk:montcalm-county-clerk,both,true,true,https://www.montcalm.us/643/Elections,https://www.montcalm.us/643/Elections,,,existing_state_capability_registry,verified,,,Election-night page explains reporting topology explicitly. Precincts Reported spreadsheet includes arrival/reporting times; some elections use consolidated precincts.
us:mi:county:newaygo,MI,county,Newaygo,,,provisional_name,us:authority:mi:county-clerk:newaygo-county-clerk,both,true,true,https://www.newaygocountymi.gov/departments/county-clerk/elections/,https://www.newaygocountymi.gov/departments/county-clerk/elections/,,,existing_state_capability_registry,verified,,,County election page exposes a current Election Result link plus archive; endpoint family needs fingerprinting.
us:mi:county:mecosta,MI,county,Mecosta,,,provisional_name,us:authority:mi:county-clerk:mecosta-county-clerk,final_only,true,false,https://www.mecostacounty.org/government/clerk/elections.php,,,,existing_state_capability_registry,verified,,,Official authority registered; detailed result-shape classification still pending.
us:mi:county:oceana,MI,county,Oceana,,,provisional_name,us:authority:mi:county-clerk:oceana-county-clerk,final_only,true,false,https://oceana.mi.us/government/departments/county-clerk/elections/,,,,existing_state_capability_registry,verified,,,Current election-results page publishes official Statement of Votes Cast and maintains an archive; presently looks certification/report oriented rather than live-web oriented.
us:mi:county:mason,MI,county,Mason,,,provisional_name,us:authority:mi:county-clerk:mason-county-clerk,final_only,true,false,https://www.masoncounty.net/departments/clerk/elections/,,,,existing_state_capability_registry,verified,,,Official authority registered; detailed result-shape classification still pending.
us:mi:county:manistee,MI,county,Manistee,,,provisional_name,us:authority:mi:county-clerk:manistee-county-clerk,final_only,true,false,https://www.manisteecountymi.gov/194/Elections,,,,existing_state_capability_registry,verified,,,Official authority registered; detailed result-shape classification still pending.
us:mi:county:wexford,MI,county,Wexford,,,provisional_name,us:authority:mi:county-clerk:wexford-county-clerk,final_only,true,false,https://www.wexfordcounty.org/government/county-clerk/elections/,,,,existing_state_capability_registry,verified,,,Official authority registered; detailed result-shape classification still pending.
us:mi:county:osceola,MI,county,Osceola,,,provisional_name,us:authority:mi:county-clerk:osceola-county-clerk,final_only,true,false,https://www.osceola-county.org/residents/county_departments/county_clerk/elections.php,,,,existing_state_capability_registry,verified,,,Official authority registered; detailed result-shape classification still pending.
us:mi:county:clare,MI,county,Clare,,,provisional_name,us:authority:mi:county-clerk:clare-county-clerk,final_only,true,false,https://clareco.net/elections/,,,,existing_state_capability_registry,verified,,,Official authority registered; detailed result-shape classification still pending.
us:mi:county:gladwin,MI,county,Gladwin,,,provisional_name,us:authority:mi:county-clerk:gladwin-county-clerk,final_only,true,false,https://gladwincounty-mi.gov/departments/county-clerk/elections/,,,,existing_state_capability_registry,verified,,,Official authority registered; detailed result-shape classification still pending.
us:mi:county:arenac,MI,county,Arenac,,,provisional_name,us:authority:mi:county-clerk:arenac-county-clerk,final_only,true,false,https://www.arenaccountymi.gov/Clerk/Elections/,,,,existing_state_capability_registry,verified,,,Official authority registered; detailed result-shape classification still pending.
us:mi:county:alcona,MI,county,Alcona,,,provisional_name,us:authority:mi:county-clerk:alcona-county-clerk,final_only,true,false,https://alconacountymi.com/home/county-clerk/election-results/,,,,existing_state_capability_registry,verified,,,Official election-results page publishes PDFs including Statement of Votes Cast and historical election results.
us:mi:county:alger,MI,county,Alger,,,provisional_name,us:authority:mi:county-clerk:alger-county-clerk,final_only,true,false,https://www.algercounty.gov/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:alpena,MI,county,Alpena,,,provisional_name,us:authority:mi:county-clerk:alpena-county-clerk,final_only,true,false,https://www.alpenacounty.org/173/Election-Results,,,,existing_state_capability_registry,verified,,,Election-results archive includes summary and precinct-by-precinct PDFs across multiple cycles.
us:mi:county:antrim,MI,county,Antrim,,,provisional_name,us:authority:mi:county-clerk:antrim-county-clerk,final_only,true,false,https://www.antrimcounty.org/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:baraga,MI,county,Baraga,,,provisional_name,us:authority:mi:county-clerk:baraga-county-clerk,final_only,true,false,https://keweenawbay.org/government/departments/elections/,,,,existing_state_capability_registry,verified,,,Official elections page publishes Election Summary Reports and Statements of Votes Cast for current and historical elections.
us:mi:county:benzie,MI,county,Benzie,,,provisional_name,us:authority:mi:county-clerk:benzie-county-clerk,final_only,true,false,https://www.benzieco.gov/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:branch,MI,county,Branch,,,provisional_name,us:authority:mi:county-clerk:branch-county-clerk,both,true,true,https://www.countyofbranch.com/departments/county-clerk/elections/election-results/,https://www.countyofbranch.com/departments/county-clerk/elections/election-results/,,,existing_state_capability_registry,verified,,,2026 results page explicitly links Enhanced Results; strong candidate for shared Enhanced Voting adapter.
us:mi:county:cass,MI,county,Cass,,,provisional_name,us:authority:mi:county-clerk:cass-county-clerk,final_only,true,false,https://www.casscountymi.org/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:charlevoix,MI,county,Charlevoix,,,provisional_name,us:authority:mi:county-clerk:charlevoix-county-clerk,final_only,true,false,https://www.charlevoixcounty.org/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:cheboygan,MI,county,Cheboygan,,,provisional_name,us:authority:mi:county-clerk:cheboygan-county-clerk,final_only,true,false,https://www.cheboygancounty.net/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:chippewa,MI,county,Chippewa,,,provisional_name,us:authority:mi:county-clerk:chippewa-county-clerk,final_only,true,false,https://www.chippewacountymi.gov/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:crawford,MI,county,Crawford,,,provisional_name,us:authority:mi:county-clerk:crawford-county-clerk,final_only,true,false,https://www.crawfordco.org/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:delta,MI,county,Delta,,,provisional_name,us:authority:mi:county-clerk:delta-county-clerk,final_only,true,false,https://deltacountymi.gov/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:dickinson,MI,county,Dickinson,,,provisional_name,us:authority:mi:county-clerk:dickinson-county-clerk,final_only,true,false,https://www.dickinsoncountymi.gov/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:emmet,MI,county,Emmet,,,provisional_name,us:authority:mi:county-clerk:emmet-county-clerk,final_only,true,false,https://www.emmetcounty.org/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:gogebic,MI,county,Gogebic,,,provisional_name,us:authority:mi:county-clerk:gogebic-county-clerk,final_only,true,false,https://www.gogebic.gov/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:hillsdale,MI,county,Hillsdale,,,provisional_name,us:authority:mi:county-clerk:hillsdale-county-clerk,final_only,true,false,https://www.hillsdalecounty.gov/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:houghton,MI,county,Houghton,,,provisional_name,us:authority:mi:county-clerk:houghton-county-clerk,final_only,true,false,https://www.houghtoncounty.net/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:huron,MI,county,Huron,,,provisional_name,us:authority:mi:county-clerk:huron-county-clerk,final_only,true,false,https://www.co.huron.mi.us/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:iosco,MI,county,Iosco,,,provisional_name,us:authority:mi:county-clerk:iosco-county-clerk,final_only,true,false,https://iosco.net/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:iron,MI,county,Iron,,,provisional_name,us:authority:mi:county-clerk:iron-county-clerk,final_only,true,false,https://ironmi.com/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:kalkaska,MI,county,Kalkaska,,,provisional_name,us:authority:mi:county-clerk:kalkaska-county-clerk,final_only,true,false,https://www.kalkaskacounty.net/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:keweenaw,MI,county,Keweenaw,,,provisional_name,us:authority:mi:county-clerk:keweenaw-county-clerk,final_only,true,false,https://keweenawcountyonline.org/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:lake,MI,county,Lake,,,provisional_name,us:authority:mi:county-clerk:lake-county-clerk,both,true,true,https://app.enhancedvoting.com/,https://app.enhancedvoting.com/,,,existing_state_capability_registry,verified,,,Michigan SOS county-results directory links Lake County directly to app.enhancedvoting.com; shared adapter target with Isabella and Branch.
us:mi:county:leelanau,MI,county,Leelanau,,,provisional_name,us:authority:mi:county-clerk:leelanau-county-clerk,final_only,true,false,https://www.leelanau.gov/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:lenawee,MI,county,Lenawee,,,provisional_name,us:authority:mi:county-clerk:lenawee-county-clerk,both,true,true,https://www.electionlenawee.com/,https://www.electionlenawee.com/,,,existing_state_capability_registry,verified,,,Dedicated electionlenawee.com results site; likely reusable live-app family after fingerprinting.
us:mi:county:luce,MI,county,Luce,,,provisional_name,us:authority:mi:county-clerk:luce-county-clerk,final_only,true,false,https://www.lucecountymi.com/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:mackinac,MI,county,Mackinac,,,provisional_name,us:authority:mi:county-clerk:mackinac-county-clerk,final_only,true,false,https://www.mackinaccounty.net/,,,,existing_state_capability_registry,verified,,,State SOS provides official county result link; endpoint shape pending census runner.
us:mi:county:marquette,MI,county,Marquette,,,provisional_name,us:authority:mi:county-clerk:marquette-county-clerk,final_only,true,false,https://www.co.marquette.mi.us/,,,,existing_state_capability_registry,verified,,,Official authority identified; endpoint shape pending census runner.
us:mi:county:menominee,MI,county,Menominee,,,provisional_name,us:authority:mi:county-clerk:menominee-county-clerk,final_only,true,false,https://www.menomineecounty.com/,,,,existing_state_capability_registry,verified,,,Official authority identified; endpoint shape pending census runner.
us:mi:county:missaukee,MI,county,Missaukee,,,provisional_name,us:authority:mi:county-clerk:missaukee-county-clerk,final_only,true,false,https://www.missaukee.org/,,,,existing_state_capability_registry,verified,,,Official authority identified; endpoint shape pending census runner.
us:mi:county:montmorency,MI,county,Montmorency,,,provisional_name,us:authority:mi:county-clerk:montmorency-county-clerk,final_only,true,false,https://www.montcounty.org/,,,,existing_state_capability_registry,verified,,,Official authority identified; endpoint shape pending census runner.
us:mi:county:ogemaw,MI,county,Ogemaw,,,provisional_name,us:authority:mi:county-clerk:ogemaw-county-clerk,final_only,true,false,https://www.ocmi.us/,,,,existing_state_capability_registry,verified,,,Official authority identified; endpoint shape pending census runner.
us:mi:county:ontonagon,MI,county,Ontonagon,,,provisional_name,us:authority:mi:county-clerk:ontonagon-county-clerk,final_only,true,false,https://www.ontonagoncounty.org/,,,,existing_state_capability_registry,verified,,,Official authority identified; endpoint shape pending census runner.
us:mi:county:oscoda,MI,county,Oscoda,,,provisional_name,us:authority:mi:county-clerk:oscoda-county-clerk,final_only,true,false,https://www.oscodacountymi.com/,,,,existing_state_capability_registry,verified,,,Official authority identified; endpoint shape pending census runner.
us:mi:county:otsego,MI,county,Otsego,,,provisional_name,us:authority:mi:county-clerk:otsego-county-clerk,final_only,true,false,https://www.otsegocountymi.gov/,,,,existing_state_capability_registry,verified,,,Official authority identified; endpoint shape pending census runner.
us:mi:county:presque-isle,MI,county,Presque Isle,,,provisional_name,us:authority:mi:county-clerk:presque-isle-county-clerk,final_only,true,false,https://presqueislecounty.org/,,,,existing_state_capability_registry,verified,,,Official authority identified; endpoint shape pending census runner.
us:mi:county:roscommon,MI,county,Roscommon,,,provisional_name,us:authority:mi:county-clerk:roscommon-county-clerk,final_only,true,false,https://www.roscommoncounty.net/,,,,existing_state_capability_registry,verified,,,Official authority identified; endpoint shape pending census runner.
us:mi:county:sanilac,MI,county,Sanilac,,,provisional_name,us:authority:mi:county-clerk:sanilac-county-clerk,final_only,true,false,https://www.sanilaccounty.net/,,,,existing_state_capability_registry,verified,,,Official authority identified; endpoint shape pending census runner.
us:mi:county:schoolcraft,MI,county,Schoolcraft,,,provisional_name,us:authority:mi:county-clerk:schoolcraft-county-clerk,final_only,true,false,https://www.schoolcraftcounty.net/,,,,existing_state_capability_registry,verified,,,Official authority identified; endpoint shape pending census runner.
us:mi:county:st-joseph,MI,county,St. Joseph,,,provisional_name,us:authority:mi:county-clerk:st-joseph-county-clerk,final_only,true,false,https://www.stjosephcountymi.org/,,,,existing_state_capability_registry,verified,,,Official authority identified; endpoint shape pending census runner.
us:mi:county:tuscola,MI,county,Tuscola,,,provisional_name,us:authority:mi:county-clerk:tuscola-county-clerk,final_only,true,false,https://www.tuscolacounty.org/,,,,existing_state_capability_registry,verified,,,Official authority identified; endpoint shape pending census runner.
us:mi:county:van-buren,MI,county,Van Buren,,,provisional_name,us:authority:mi:county-clerk:van-buren-county-clerk,final_only,true,false,https://www.vanburencountymi.gov/,,,,existing_state_capability_registry,verified,,,Official authority identified; endpoint shape pending census runner.
us:oh:county:cuyahoga,OH,county,Cuyahoga,,,provisional_name,us:authority:oh:board-of-elections:cuyahoga-county-board-of-elections,both,true,true,https://boe.cuyahogacounty.gov/,https://boe.cuyahogacounty.gov/,,,existing_state_capability_registry,verified,,,Interactive official results 2024-26; archive reaches 1983. Endpoint/API fingerprinting needed.
us:oh:county:franklin,OH,county,Franklin,,,provisional_name,us:authority:oh:board-of-elections:franklin-county-board-of-elections,final_only,true,false,https://vote.franklincountyohio.gov/,,,,existing_state_capability_registry,verified,,,2024/26 provide precinct XLSX and precinct-with-group-detail XLSX; strong structured historical target.
us:oh:county:hamilton,OH,county,Hamilton,,,provisional_name,us:authority:oh:board-of-elections:hamilton-county-board-of-elections,both,true,true,https://votehamiltoncountyohio.gov/,https://votehamiltoncountyohio.gov/,,,existing_state_capability_registry,verified,,,Interactive results expose precincts reporting and turnout; archived official results include spreadsheets and audits.
us:oh:county:summit,OH,county,Summit,,,provisional_name,us:authority:oh:board-of-elections:summit-county-board-of-elections,both,true,true,https://www.boe.ohio.gov/summit/,https://www.boe.ohio.gov/summit/,,,existing_state_capability_registry,verified,,,Likely recurring Ohio cumulative/precinct-detail family; endpoint verification pending.
us:oh:county:montgomery,OH,county,Montgomery,,,provisional_name,us:authority:oh:board-of-elections:montgomery-county-board-of-elections,both,true,true,https://www.montgomery.boe.ohio.gov/,https://www.montgomery.boe.ohio.gov/,,,existing_state_capability_registry,verified,,,Recurring Ohio report family; detailed endpoint verification pending.
us:oh:county:lucas,OH,county,Lucas,,,provisional_name,us:authority:oh:board-of-elections:lucas-county-board-of-elections,both,true,true,https://www.lucascountyohiovotes.gov/,https://www.lucascountyohiovotes.gov/,,,existing_state_capability_registry,verified,,,Current and historical county results; interactive/source family still needs endpoint fingerprint.
us:oh:county:stark,OH,county,Stark,,,provisional_name,us:authority:oh:board-of-elections:stark-county-board-of-elections,both,true,true,https://www.starkcountyohio.gov/government/offices/board_of_elections/,https://www.starkcountyohio.gov/government/offices/board_of_elections/,,,existing_state_capability_registry,verified,,,"Excellent archive: interactive, official precinct Excel/PDF, overlap and recount products across many cycles."
us:oh:county:butler,OH,county,Butler,,,provisional_name,us:authority:oh:board-of-elections:butler-county-board-of-elections,both,true,true,https://elections.bcohio.gov/,https://elections.bcohio.gov/,,,existing_state_capability_registry,verified,,,Historical summaries expose precincts-reporting counts; cumulative/precinct report family.
us:oh:county:lorain,OH,county,Lorain,,,provisional_name,us:authority:oh:board-of-elections:lorain-county-board-of-elections,both,true,true,https://www.voteloraincountyohio.gov/,https://www.voteloraincountyohio.gov/,,,existing_state_capability_registry,verified,,,2024 publishes turnout and absentee composition plus presidential/Senate/turnout by precinct.
us:oh:county:mahoning,OH,county,Mahoning,,,provisional_name,us:authority:oh:board-of-elections:mahoning-county-board-of-elections,both,true,true,https://vote.mahoningcountyoh.gov/,https://vote.mahoningcountyoh.gov/,,,existing_state_capability_registry,verified,,,2024 Summary Results Report; archive back to 2007. Site documents ES&S DS200/ExpressVote equipment.
us:oh:county:lake,OH,county,Lake,,,provisional_name,us:authority:oh:board-of-elections:lake-county-board-of-elections,both,true,true,https://www.lakecountyohio.gov/boe/,https://www.lakecountyohio.gov/boe/,,,existing_state_capability_registry,verified,,,Current archive consistently exposes official summary and precinct-by-precinct products.
us:oh:county:trumbull,OH,county,Trumbull,,,provisional_name,us:authority:oh:board-of-elections:trumbull-county-board-of-elections,both,true,true,https://boe.co.trumbull.oh.us/,https://boe.co.trumbull.oh.us/,,,existing_state_capability_registry,verified,,,Expected cumulative/precinct family; endpoint verification pending.
us:oh:county:clermont,OH,county,Clermont,,,provisional_name,us:authority:oh:board-of-elections:clermont-county-board-of-elections,both,true,true,https://boe.clermontcountyohio.gov/,https://boe.clermontcountyohio.gov/,,,existing_state_capability_registry,verified,,,Expected cumulative/precinct family; endpoint verification pending.
us:oh:county:warren,OH,county,Warren,,,provisional_name,us:authority:oh:board-of-elections:warren-county-board-of-elections,both,true,true,https://vote.warrencountyohio.gov/,https://vote.warrencountyohio.gov/,,,existing_state_capability_registry,verified,,,Expected cumulative/precinct family; endpoint verification pending.
us:oh:county:delaware,OH,county,Delaware,,,provisional_name,us:authority:oh:board-of-elections:delaware-county-board-of-elections,both,true,true,https://vote.delawarecountyohio.gov/,https://vote.delawarecountyohio.gov/,,,existing_state_capability_registry,verified,,,Expected cumulative/precinct family; endpoint verification pending.
us:oh:county:licking,OH,county,Licking,,,provisional_name,us:authority:oh:board-of-elections:licking-county-board-of-elections,both,true,true,https://www.boe.ohio.gov/licking/,https://www.boe.ohio.gov/licking/,,,existing_state_capability_registry,verified,,,Highly regular BOE family across many cycles; election-night page is refreshable and standard precinct/polling lookup offers CSV.
us:oh:county:greene,OH,county,Greene,,,provisional_name,us:authority:oh:board-of-elections:greene-county-board-of-elections,both,true,true,https://www.greenecountyohio.gov/128/Board-of-Elections,https://www.greenecountyohio.gov/128/Board-of-Elections,,,existing_state_capability_registry,verified,,,"Standard BOE archive; 2024 precinct PDF exposes registered voters, times/cards cast, turnout and precinct candidate totals. Separate statewide lookup endpoint offers precinct/polling CSV."
